nombre_diagnostico|nombre_diagnostico_psiquiatrico
Trastorno depresivo mayor, episodio único, no especificado|Trastorno esquizoide de personalidad
Historia personal de tuberculosis|Trastorno esquizoide de personalidad
Epilepsia y síndromes epilépticos generalizados idiopáticos, no intratables, sin estado de mal epiléptico|Trastorno esquizoide de personalidad
Diabetes mellitus tipo 1 con otras artropatías diabéticas|Otros tipos de esquizofrenia
Herida abierta no especificada de mano no especificada, contacto inicial|Otros tipos de esquizofrenia
Dolor (agudo) (crónico) relacionado con neoplasia|Trastornos delirantes
Neoplasia maligna diseminada, no especificada|Trastornos delirantes
Neoplasia maligna secundaria de cerebro|Trastornos delirantes
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas|Trastornos delirantes
Neoplasia maligna secundaria de hueso|Trastornos delirantes
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de regiones múltiples|Trastornos delirantes
Neoplasia maligna secundaria de glándula suprarrenal no especificada|Trastornos delirantes
Neoplasia maligna de ciego|Trastornos delirantes
Necrobiosis lipoidea no clasificada bajo otro concepto|Trastornos delirantes
Uso prolongado (actual) de analgésicos opiáceos|Trastornos delirantes
Historia familiar de neoplasia maligna de órganos digestivos|Trastornos delirantes
Otros estados posprocedimiento especificados|Otros tipos de esquizofrenia
Historia personal de otras malformaciones congénitas (corregidas)|Otros tipos de esquizofrenia
Luxación de articulación de tobillo no especificado, contacto inicial|Otros tipos de esquizofrenia
Dependencia de otra sustancia psicoactiva, en remisión|Otros tipos de esquizofrenia
Pancitopenia debida a quimioterapia antineoplásica|Otros tipos de esquizofrenia
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales simples, no intratable, con estado de mal epiléptico|Otros tipos de esquizofrenia
Esclerosis temporal|Otros tipos de esquizofrenia
Historia personal de otras enfermedades infecciosas y parasitarias|Otros tipos de esquizofrenia
Otros tumores especificados de comportamiento incierto de tejido linfático, hemopoyético y relacionados|Otros tipos de esquizofrenia
Mieloma múltiple, sin haber alcanzado remisión|Otros tipos de esquizofrenia
Síndrome de lisis tumoral|Otros tipos de esquizofrenia
Sepsis grave con shock séptico|Otros tipos de esquizofrenia
Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Lupus eritematoso discoide|Otros tipos de esquizofrenia
Envenenamiento por antipsicóticos y neurolépticos no especificados, accidental (no intencionado), contacto inicial|Otros tipos de esquizofrenia
Envenenamiento por benzodiacepinas, accidental (no intencionado), contacto inicial|Otros tipos de esquizofrenia
Apnea obstructiva del sueño (del adulto) (pediátrica)|Otros tipos de esquizofrenia
Ausencia adquirida de otros órganos|Otros tipos de esquizofrenia
Otros trastornos del sueño|Otros tipos de esquizofrenia
Envenenamiento por fármacos, medicamentos y sustancias biológicas no especificados, accidental (no intencionado), contacto inicial|Otros tipos de esquizofrenia
Efecto tóxico de insecticidas halogenados, accidental (no intencionado), contacto inicial|Otros tipos de esquizofrenia
Quistes ováricos no especificados|Otros tipos de esquizofrenia
Alcoholismo y drogadicción en la familia|Trastornos delirantes
Abuso de inhalantes, sin complicaciones|Otros tipos de esquizofrenia
Púrpura postransfusional|Otros tipos de esquizofrenia
Fractura desplazada de maléolo lateral de peroné no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Otra fractura de pierna no especificada, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Fractura no especificada de calcáneo no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Fractura no especificada de sacro, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Fractura no especificada de acetábulo no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Fractura no especificada de isquion no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Presencia de ojo artificial|Otros tipos de esquizofrenia
Contacto para observación por sospecha de otras enfermedades y afecciones descartadas|Otros tipos de esquizofrenia
Historia personal de otra neoplasia maligna de estómago|Otros tipos de esquizofrenia
Ausencia adquirida (de parte) del estómago|Otros tipos de esquizofrenia
Otros tipos de hiperfunción de hipófisis|Otros tipos de esquizofrenia
Tirotoxicosis, no especificada sin crisis tirotóxica ni tormenta tiroidea|Otros tipos de esquizofrenia
Quiste sebáceo|Otros tipos de esquizofrenia
Neoplasia lipomatosa benigna de piel y tejido subcutáneo de tronco|Otros tipos de esquizofrenia
Incontinencia urinaria funcional|Otros tipos de esquizofrenia
Galactosemia|Otros tipos de esquizofrenia
Historia familiar de diabetes mellitus|Otros tipos de esquizofrenia
Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Gastroenteritis y colitis alérgicas y dietéticas|Otros tipos de esquizofrenia
Fiebre asociada a afecciones clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Bronquiectasias con exacerbación (aguda)|Otros tipos de esquizofrenia
Impétigo, no especificado|Otros tipos de esquizofrenia
Conductor de vehículo de transporte pesado lesionado en colisión con vehículo a pedales en un accidente no de tráfico|Otros tipos de esquizofrenia
Hiperlipidemia mixta|Otros tipos de esquizofrenia
Bronquitis aguda, no especificada|Trastornos delirantes
Poliartrosis no especificada|Trastornos delirantes
Historia personal de neoplasia maligna de mama|Trastornos delirantes
Ausencia adquirida de mama y pezón no especificados|Trastornos delirantes
Hemorragia subaracnoidea no traumática, no especificada|Otros tipos de esquizofrenia
Estado de angioplastia coronaria|Otros tipos de esquizofrenia
Contacto para reconocimiento médico de seguimiento después de finalizar tratamiento de afecciones distintas de neoplasia maligna|Otros tipos de esquizofrenia
Miocardiopatía isquémica|Otros tipos de esquizofrenia
Neoplasia maligna no especificada de piel de extremidad superior no especificada, incluyendo hombro|Otros tipos de esquizofrenia
Demencia no especificada, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Otros tipos de esquizofrenia
Infección de muñón de amputación de extremidad no especificada|Otros tipos de esquizofrenia
Ausencia adquirida de dedo (-s) de mano no especificada|Otros tipos de esquizofrenia
Otra fractura de diáfisis de húmero no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Obesidad mórbida (severa) con hipoventilación alveolar|Otros tipos de esquizofrenia
Dependencia de otras máquinas y dispositivos de apoyo|Otros tipos de esquizofrenia
Trastorno papuloescamoso, no especificado|Otros tipos de esquizofrenia
Infarto cerebral debido a oclusión o estenosis no especificada de arteria cerebral no especificada|Otros tipos de esquizofrenia
Disartria y anartria|Otros tipos de esquizofrenia
Acidosis|Otros tipos de esquizofrenia
Estenosis vertebral, región lumbar|Otros tipos de esquizofrenia
Verruga viral, no especificada|Otros tipos de esquizofrenia
Desaparición y muerte de miembro de familia|Otros tipos de esquizofrenia
Ántrax de nalga|Trastorno psicótico breve
Enfermedad hepática alcohólica, no especificada|Otros tipos de esquizofrenia
Sepsis por otros gram negativos|Otros tipos de esquizofrenia
Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca|Otros tipos de esquizofrenia
Otros accidentes isquémicos transitorios y síndromes afines|Otros tipos de esquizofrenia
Trastorno depresivo mayor, episodio único, moderado|Trastornos delirantes
Gastritis crónica atrófica sin hemorragia|Trastornos delirantes
Hígado graso (degeneración grasa) de hígado, no clasificado bajo otro concepto|Trastornos delirantes
Historia personal de otras enfermedades del aparato circulatorio|Trastornos delirantes
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales simples, no intratable, con estado de mal epiléptico|Trastornos delirantes
Historia familiar de ictus|Otros tipos de esquizofrenia
Historia personal de otras neoplasias malignas de piel|Trastornos delirantes
Bronconeumonía, microorganismo no especificado|Otros tipos de esquizofrenia
Tumefacción, masa o bulto localizados en el tronco|Otros tipos de esquizofrenia
Otros tipos de trastornos específicos de personalidad|Trastorno psicótico breve
Leiomioma submucoso de útero|Trastorno psicótico breve
Leiomioma intramural de útero|Trastorno psicótico breve
Quiste de cuerpo lúteo|Trastorno psicótico breve
Neoplasia maligna de ángulo hepático|Otros tipos de esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos intraabdominales|Otros tipos de esquizofrenia
Anemia ferropénica secundaria a pérdida de sangre (crónica)|Otros tipos de esquizofrenia
Obstrucción de conducto biliar|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de retroperitoneo y peritoneo|Otros tipos de esquizofrenia
Obstrucción de duodeno|Otros tipos de esquizofrenia
Historia personal de otra neoplasia maligna de intestino grueso|Otros tipos de esquizofrenia
Dependencia de alcohol con abstinencia, no especificada|Trastornos delirantes
Enfermedad hepática alcohólica, no especificada|Trastornos delirantes
Dependencia de opiáceos, en remisión|Trastornos delirantes
Abuso de otra sustancia psicoactiva, sin complicaciones|Trastornos delirantes
Aflojamiento mecánico de prótesis interna de articulación no especificada, contacto inicial|Trastornos delirantes
Historia personal de otras malformaciones congénitas (corregidas)|Trastornos delirantes
Estado de alergia a otros fármacos, medicamentos y sustancias biológicas|Otros tipos de esquizofrenia
Estado de alergia a otros antibióticos|Otros tipos de esquizofrenia
Asma no especificada con exacerbación (aguda)|Otros tipos de esquizofrenia
Hemoptisis|Otros tipos de esquizofrenia
Elevación inespecífica de niveles de transaminasas y lactato deshidrogenasa [LDH]|Otros tipos de esquizofrenia
Hipertensión esencial (primaria)|Trastorno psicótico breve
Poliartrosis no especificada|Trastorno psicótico breve
Problemas relacionados con vivir solo|Trastorno psicótico breve
Ruptura familiar por separación y divorcio|Trastorno psicótico breve
Deterioro cognitivo leve de etiología incierta o desconocida|Trastornos delirantes
Miocardiopatía isquémica|Trastornos delirantes
Bloqueo de rama izquierda, no especificado|Trastornos delirantes
Fallo renal agudo, no especificado|Trastornos delirantes
Úlcera crónica no debida a presión de parte no especificada de pierna no especificada, de gravedad no especificada|Trastornos delirantes
Carencia de otras vitaminas del grupo B especificadas|Trastornos delirantes
Trastorno esquizofreniforme|Otros tipos de esquizofrenia
Neoplasia benigna de glándula salival mayor, no especificada|Otros tipos de esquizofrenia
Conductor de vehículo de transporte pesado lesionado en colisión con vehículo a pedales en un accidente no de tráfico|Trastornos delirantes
Bronquitis aguda, no especificada|Otros tipos de esquizofrenia
Estado de alergia a narcótico|Otros tipos de esquizofrenia
Enfermedad renal crónica, estadio 2 (leve)|Otros tipos de esquizofrenia
Duplicación del intestino|Otros tipos de esquizofrenia
Otros trastornos del equilibrio de líquidos y electrolitos, no clasificados bajo otro concepto|Otros tipos de esquizofrenia
Enfermedad renal crónica, estadio 3 (moderada)|Otros tipos de esquizofrenia
Neoplasia maligna de ovario no especificado|Otros tipos de esquizofrenia
Hidronefrosis no especificadas|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de ovario|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas|Otros tipos de esquizofrenia
Melena|Otros tipos de esquizofrenia
Agranulocitosis secundaria a quimioterapia antineoplásica|Otros tipos de esquizofrenia
Efecto adverso de otros fármacos, medicamentos y sustancias biológicas, contacto inicial|Otros tipos de esquizofrenia
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Trastorno psicótico breve
Hipotiroidismo, no especificado|Trastorno psicótico breve
Tiroiditis, no especificada|Trastorno psicótico breve
Nódulo tiroideo único no tóxico|Trastorno psicótico breve
Otros problemas especificados relacionados con circunstancias psicosociales|Trastorno psicótico breve
Neoplasia de comportamiento incierto de hipófisis|Otros tipos de esquizofrenia
Defectos de campos heterónimos bilaterales|Otros tipos de esquizofrenia
Anemia nutricional, no especificada|Otros tipos de esquizofrenia
